conductor_id,depot_id,pen,name,phone,status,data_source
C0001,D001,PEN-MOCK-0001,Mock Conductor 0001,+91900000001,ACTIVE,MOCK
C0002,D001,PEN-MOCK-0002,Mock Conductor 0002,+91900000002,ACTIVE,MOCK
C0003,D001,PEN-MOCK-0003,Mock Conductor 0003,+91900000003,ACTIVE,MOCK
C0004,D001,PEN-MOCK-0004,Mock Conductor 0004,+91900000004,ACTIVE,MOCK
C0005,D001,PEN-MOCK-0005,Mock Conductor 0005,+91900000005,ACTIVE,MOCK
C0006,D001,PEN-MOCK-0006,Mock Conductor 0006,+91900000006,ACTIVE,MOCK
C0007,D001,PEN-MOCK-0007,Mock Conductor 0007,+91900000007,ACTIVE,MOCK
C0008,D001,PEN-MOCK-0008,Mock Conductor 0008,+91900000008,ACTIVE,MOCK
C0009,D001,PEN-MOCK-0009,Mock Conductor 0009,+91900000009,ACTIVE,MOCK
C0010,D002,PEN-MOCK-0010,Mock Conductor 0010,+91900000010,ACTIVE,MOCK
C0011,D002,PEN-MOCK-0011,Mock Conductor 0011,+91900000011,ACTIVE,MOCK
C0012,D002,PEN-MOCK-0012,Mock Conductor 0012,+91900000012,ACTIVE,MOCK
C0013,D002,PEN-MOCK-0013,Mock Conductor 0013,+91900000013,ACTIVE,MOCK
C0014,D002,PEN-MOCK-0014,Mock Conductor 0014,+91900000014,ACTIVE,MOCK
C0015,D002,PEN-MOCK-0015,Mock Conductor 0015,+91900000015,ACTIVE,MOCK
C0016,D002,PEN-MOCK-0016,Mock Conductor 0016,+91900000016,ACTIVE,MOCK
C0017,D002,PEN-MOCK-0017,Mock Conductor 0017,+91900000017,ACTIVE,MOCK
C0018,D002,PEN-MOCK-0018,Mock Conductor 0018,+91900000018,ACTIVE,MOCK
C0019,D003,PEN-MOCK-0019,Mock Conductor 0019,+91900000019,ACTIVE,MOCK
C0020,D003,PEN-MOCK-0020,Mock Conductor 0020,+91900000020,ACTIVE,MOCK
C0021,D003,PEN-MOCK-0021,Mock Conductor 0021,+91900000021,ACTIVE,MOCK
C0022,D003,PEN-MOCK-0022,Mock Conductor 0022,+91900000022,ACTIVE,MOCK
C0023,D003,PEN-MOCK-0023,Mock Conductor 0023,+91900000023,ACTIVE,MOCK
C0024,D003,PEN-MOCK-0024,Mock Conductor 0024,+91900000024,ACTIVE,MOCK
C0025,D003,PEN-MOCK-0025,Mock Conductor 0025,+91900000025,ACTIVE,MOCK
C0026,D003,PEN-MOCK-0026,Mock Conductor 0026,+91900000026,ACTIVE,MOCK
C0027,D003,PEN-MOCK-0027,Mock Conductor 0027,+91900000027,ACTIVE,MOCK
C0028,D004,PEN-MOCK-0028,Mock Conductor 0028,+91900000028,ACTIVE,MOCK
C0029,D004,PEN-MOCK-0029,Mock Conductor 0029,+91900000029,ACTIVE,MOCK
C0030,D004,PEN-MOCK-0030,Mock Conductor 0030,+91900000030,ACTIVE,MOCK
C0031,D004,PEN-MOCK-0031,Mock Conductor 0031,+91900000031,ACTIVE,MOCK
C0032,D004,PEN-MOCK-0032,Mock Conductor 0032,+91900000032,ACTIVE,MOCK
C0033,D004,PEN-MOCK-0033,Mock Conductor 0033,+91900000033,ACTIVE,MOCK
C0034,D004,PEN-MOCK-0034,Mock Conductor 0034,+91900000034,ACTIVE,MOCK
